. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA6A_aln1_NT.trim1_1071.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.41147   0.22419  -0.74822   0.11257  
      	     	          	           	          	           	             	                                      	 0.07882   0.79178   0.20830  -1.07890  
  #60	10   	-5104.92315	Yes        	4        	0.849    	0.072    	 0.19388   0.27183   0.36106   0.17323	-1.22131   0.32151   0.87258   0.02723  
      	     	          	           	          	           	             	                                      	 0.22931  -1.00077   0.27741   0.49406  
      	     	          	           	          	           	             	                                      	 0.46854   0.20885  -0.82559   0.14820  
      	     	          	           	          	           	             	                                      	 0.03047   0.77527   0.30889  -1.11463  
  #61	10   	-5021.99960	Yes        	4        	1.249    	0.049    	 0.16935   0.25184   0.38905   0.18975	-1.37381   0.34775   0.97096   0.05509  
      	     	          	           	          	           	             	                                      	 0.23385  -1.10386   0.31024   0.55977  
      	     	          	           	          	           	             	                                      	 0.42265   0.20082  -0.74746   0.12398  
      	     	          	           	          	           	             	                                      	 0.04917   0.74294   0.25421  -1.04632  
  #62	10   	-5079.47390	Yes        	4        	1.039    	0.057    	 0.17831   0.25350   0.37607   0.19212	-1.28567   0.37039   0.87243   0.04285  
      	     	          	           	          	           	             	                                      	 0.26052  -1.13832   0.32264   0.55515  
      	     	          	           	          	           	             	                                      	 0.41365   0.21749  -0.75938   0.12825  
      	     	          	           	          	           	             	                                      	 0.03977   0.73254   0.25105  -1.02335  
  #63	10   	-5045.30148	Yes        	4        	1.051    	0.060    	 0.16720   0.27876   0.38406   0.16998	-1.45564   0.32809   1.07912   0.04843  
